"","logFC","logCPM","PValue","FDR","sig"
"SERTM1",4.19608886670921,5.20009870909748,1.91141743558367e-14,3.14125618791966e-10,"Up"
"TBX19",3.21923788762798,5.79517610041246,3.72606154785559e-14,3.14125618791966e-10,"Up"
"GJA1",3.02286957387758,5.63300593425794,1.56172836881815e-12,8.77743400888095e-09,"Up"
"AVPR1B",4.09052891520329,4.74187398749594,8.0325888357588e-12,3.38593700899323e-08,"Up"
"WIF1",6.55281089283393,5.30592606089557,1.00512724176421e-10,2.97670527198482e-07,"Up"
"CXCR4",2.57679336891096,5.54577236473139,1.10108912017847e-10,2.97670527198482e-07,"Up"
"UGT2A1",4.01686514345699,4.93275690048815,1.23580670801813e-10,2.97670527198482e-07,"Up"
"PMAIP1",4.15757639870794,5.1403288054882,1.5418674707156e-10,3.22872969509374e-07,"Up"
"CRYM",5.6938901239886,5.09811171778097,1.72341897015857e-10,3.22872969509374e-07,"Up"
"SFRP2",4.70119783186788,6.01453046172388,3.48131008706072e-10,5.86983693779308e-07,"Up"
"CXCL14",5.17928856863198,5.18378864748096,6.45560283981398e-10,9.89526540746396e-07,"Up"
"TRDN",4.10051247626086,4.67519265174617,1.74332179698104e-09,2.44951240157478e-06,"Up"
"UGT2A2",3.91944331516023,4.90538283568332,1.91582378997888e-09,2.48482345560261e-06,"Up"
"ASCL1",3.65606748395089,5.2432461265714,3.21952780063882e-09,3.87746130332651e-06,"Up"
"THY1",-2.36132222185126,6.17934319988374,4.16142717002557e-09,4.67772156758675e-06,"Down"
"CRYAB",3.09527660858485,5.66274644536983,5.76053147904081e-09,6.07052007925669e-06,"Up"
"CD79B",-4.78275674115044,8.67036727128927,2.69159845565277e-08,2.66959068004478e-05,"Down"
"RAB3B",2.29825592876349,5.90589950224177,7.775225056419e-08,7.28322609312671e-05,"Up"
"TGFBR3",2.08904860316211,5.16251056530086,9.22098977701386e-08,8.18290045422267e-05,"Up"
"ADH1B",2.72815530491672,5.13727547118764,1.3609962840274e-07,0.00011473879172493,"Up"
"VIM",2.41156112909114,7.27280002071812,2.25671383393765e-07,0.000181192628352489,"Up"
"FNDC9",-1.93691330777589,7.03437874449762,2.53188712711385e-07,0.000187478156324767,"Down"
"GFAP",3.81913041891199,4.7711210182958,2.55737951216989e-07,0.000187478156324767,"Up"
"SOX2",3.01811498888627,4.88397447046496,3.03956973120045e-07,0.000213542438490711,"Up"
"CCL2",3.37634157648646,5.59182609309134,3.43021899277043e-07,0.000231347689748409,"Up"
"WDR74",3.72697771558419,7.25447487899764,3.57895817194575e-07,0.000232095437450682,"Up"
"SLC4A3",-1.57427764610395,6.06840823754266,4.77234866312825e-07,0.00029802433632965,"Down"
"ESR1",2.34172357455162,4.87146167290055,5.63478893165057e-07,0.000339314914916287,"Up"
"RABAC1",-1.46252522349786,8.59724893911975,5.8522668900946e-07,0.000340258869082362,"Down"
"ID2",1.61654899177667,6.0271520381918,6.27133738736313e-07,0.000352470065627766,"Up"
"PCDH8",-3.16605416668097,5.71129181126476,7.11040589206963e-07,0.000385722195418069,"Down"
"PFKFB2",1.48292543090115,5.74794307127273,7.35085057185783e-07,0.000385722195418069,"Up"
"SERPINF1",2.68710667344926,6.15628753501182,7.54927492366779e-07,0.000385722195418069,"Up"
"IMPA2",-2.69740765876888,6.5130541368385,8.5354533187153e-07,0.000416640741447126,"Down"
"TIMP3",2.27163273276117,7.37310539756857,8.64861274577392e-07,0.000416640741447126,"Up"
"SLIT2",2.73263467217486,4.623469818562,1.03654364309513e-06,0.000485476732395196,"Up"
"EDN3",4.43416206292353,4.42793835916151,1.12009998641265e-06,0.000495414105716983,"Up"
"SDC4",2.62402460442064,5.57243213740575,1.13478168884343e-06,0.000495414105716983,"Up"
"APOL1",-2.42386090935556,6.6546611611462,1.14590772332378e-06,0.000495414105716983,"Down"
"FKBP10",-1.66277305916947,7.35164312101083,1.37399305286892e-06,0.000579172421610571,"Down"
