Geneid,0P1,0P2,0P3,20P1,20P2,20P3,8P1,8P2,8P3
1-Oct,1061,1013,1055,947,1049,858,1158,916,958
15S_RRNA,8,21,38,28,14,18,28,30,28
21S_RRNA,152,198,112,71,217,172,221,381,209
24-May,202,107,73,357,336,233,556,271,478
AAC1,3477,3310,2905,13837,12385,12110,16740,14216,13270
AAC3,210,283,248,38,116,95,87,149,131
AAD10,4915,4862,4065,9397,9968,9213,14807,12079,10678
AAD14,2190,2010,1883,2664,2759,2106,3021,2585,2351
AAD15,558,804,536,596,558,404,646,534,407
AAD3,4134,3892,3338,2470,2313,1801,2784,1967,1904
AAD4,3473,3915,3302,3729,4009,3399,6948,6323,5671
AAD6,5422,5198,5135,4311,4548,3564,6523,5681,5405
AAH1,2671,2066,1643,1952,2126,1667,2118,1717,1545
AAP1,2127,2470,1967,2151,2014,1940,2644,2483,2218
AAR2,211,201,247,356,414,339,461,243,433
AAT1,1402,987,685,1615,1525,1392,2462,2004,1900
AAT2,6133,5985,5982,5287,5210,4523,7102,6142,5592
ABD1,2649,2861,2648,2159,2333,1561,2638,2740,2072
ABF1,1362,1211,1166,601,724,657,859,732,678
ABF2,2217,2795,2178,1856,2525,2088,2536,2279,2224
ABM1,69,104,28,213,160,213,280,187,230
ABP1,3563,4115,3628,2278,2185,2098,3622,3153,2823
ABP140,1456,1503,1220,412,569,469,657,576,735
ABZ1,2878,2521,2044,2363,2151,1917,3323,3035,3108
ABZ2,992,1034,991,913,1016,771,1073,962,907
ACA1,873,710,540,721,933,721,876,798,698
ACB1,11141,11693,10778,4155,5359,4542,5058,5342,4701
ACC1,14469,14791,14725,7820,9240,7939,9129,8436,7317
ACE2,949,617,700,679,770,657,1064,795,676
ACF2,1482,1182,1041,1496,1533,1060,2005,1837,1622
ACF4,379,439,302,352,434,359,701,525,622
ACH1,4125,3707,3645,13339,12181,10267,23552,17912,19412
ACK1,1356,1081,883,1149,1150,882,1606,1270,1202
ACL4,1908,1925,1554,1090,1232,1018,1264,1092,944
ACM1,422,646,394,43,129,97,175,158,114
ACO1,15191,16725,16080,12464,14397,11434,16943,14080,13241
ACO2,2705,3000,2816,2031,2012,1612,3217,2270,2520
ACP1,4752,5501,4403,3652,3845,3729,4861,4099,3498
ACS1,3079,2400,2541,39009,41174,36130,51793,42273,42116
ACS2,1751,1457,1189,1160,945,763,1369,1083,1212
ACT1,19622,21873,20152,10615,11813,9810,14160,12831,11296
ADA2,496,394,264,279,296,237,659,499,570
ADD37,326,267,231,188,274,187,426,274,327
ADD66,480,537,410,431,497,541,633,557,414
ADE1,1441,1265,1127,2164,2209,1874,2250,1713,1810
ADE12,2406,2279,1908,1503,1913,1673,2273,1741,1562
ADE13,2522,2091,1758,2039,2014,2009,2754,2138,1961
ADE16,4232,3916,3697,7679,8065,7095,11727,8771,9237
ADE17,1049,845,694,1939,2571,1838,2102,1628,1615
ADE2,1087,1553,1078,1633,1712,1682,1980,1859,1886
ADE3,9994,8580,7824,10087,10516,8544,16461,12572,12731
ADE4,2983,3246,2354,2383,2733,2483,2274,2218,1879
"ADE5,7",5521,4617,4486,6263,6647,5484,8431,6392,6634
ADE6,8414,9098,8286,4513,5133,4918,5630,5208,4571
ADE8,3588,4649,3640,6873,8174,7359,10846,9812,8577
ADF1,0,0,0,0,0,0,0,0,0
ADH1,138194,167304,161128,69995,71773,64638,83599,85488,67824
ADH2,13701,13367,12377,176945,210610,197669,219323,207946,180662
ADH3,9131,11081,9702,8392,9198,7930,14240,14223,11643
ADH4,4040,3848,2911,3544,3904,2807,4321,3541,3382
ADH5,2155,2300,2092,1847,2474,2231,2796,2389,2171
ADH6,33908,39202,37696,5471,5943,5061,8272,8575,6857
ADH7,433,308,233,935,793,607,1264,465,691
ADI1,628,641,375,803,1276,1225,1806,1300,1211
ADK1,8942,11474,10262,2967,3340,2936,4067,3931,3264
ADK2,381,325,336,290,499,437,722,605,539
ADO1,9868,10246,8888,7335,7802,6363,10553,8665,8690
ADP1,5457,6069,5288,5147,5987,5219,7447,6592,5863
ADR1,1752,1494,1135,2633,2465,2221,3401,1743,2380
ADY2,2742,2250,1889,53476,65105,59278,51722,43982,36943
ADY3,1229,1088,951,1086,1090,826,1204,953,994
ADY4,2392,2421,2089,1460,1976,1482,1925,1631,1610
AEP1,3107,3065,2466,3255,3636,2847,3915,3211,2754
AEP2,2576,2429,2327,1544,1278,1215,1858,1781,1542
AEP3,540,324,361,1163,1208,1035,2348,1639,1766
AFB1,2354,2151,2026,523,689,708,634,633,658
AFG1,13382,13769,12484,7085,6907,6128,9839,8204,7590
AFG2,2865,2818,2192,1554,1543,1427,1924,1531,1566
AFG3,2634,2257,1802,2254,2386,1979,2915,2347,2202
AFI1,722,791,622,702,857,578,1125,719,812
AFR1,1560,1596,1222,2984,2778,2455,3742,2803,2812
AFT1,437,540,338,396,571,595,1333,700,1050
AFT2,240,263,210,833,1024,778,1398,1037,874
AGA1,387,191,167,227,306,249,498,275,365
AGA2,32,0,30,19,14,5,19,29,10
AGC1,1744,1441,1630,1316,1578,1358,1788,1588,1354
AGE1,836,437,446,753,791,593,1194,694,749
AGE2,292,395,378,319,363,389,530,534,387
AGP1,11640,13350,11983,4790,5808,5289,5359,4324,4052
AGP2,507,263,323,1710,1401,1307,3024,1692,2047
AGP3,1188,813,604,1533,1671,1249,2203,1265,1648
AGX1,5136,3881,2891,11168,11024,9717,13120,10493,10056
AHA1,6382,7351,7189,11706,11707,9727,13204,11015,10513
AHC1,993,521,472,2219,1919,1848,3064,1694,2213
AHC2,1558,1780,1453,3166,3149,2617,3655,3068,3312
AHK1,1699,2200,1630,1171,957,879,1326,1112,826
AHP1,7396,7590,6769,7023,8423,7748,9828,8314,8032
AHT1,191,80,114,161,87,97,142,105,68
AI1,346,351,218,115,147,239,316,356,266
AI2,127,66,83,42,65,34,152,101,83
AI3,0,0,0,0,2,0,0,8,0
AI4,15,0,0,0,1,7,4,0,0
AI5_ALPHA,0,0,0,0,0,0,0,0,0
AI5_BETA,0,0,8,0,0,0,0,0,0
AIF1,2147,2406,2160,1823,2013,1598,3033,2716,2329
AIM10,579,947,820,558,732,507,708,621,532
