Gene,GH23,GH46,GH1284,GH1298,GH1332,GH1352,GH1520,GH1547,GH1603,GH1660,GH1834
TSPAN6,2.160022,6.586381,1.080608,4.095825,2.932611,1.158344,1.888704,8.640036,3.999302,1.838384,15.782069
TNMD,0.18861,0.204901,0.019262,0.366619,1.161332,0.018295,0,0.496101,1.07002,0.01496,1.57371
DPM1,13.992104,6.663075,12.150244,12.934335,6.000703,14.010909,7.993861,8.190429,3.413774,24.538805,3.317401
SCYL3,1.528567,1.236381,1.570513,1.591606,1.478593,1.802954,1.360106,1.437054,1.212351,1.497028,0.955245
C1orf112,0.557405,0.619264,0.42982,0.511062,0.689526,0.340709,0.433109,0.430458,0.52791,0.323993,0.731964
FGR,0.622585,0.154692,0.035885,0.031544,0.456404,0.083015,0.400771,0.09313,0.063486,0.073072,0.022162
CFH,1.712436,3.347916,1.353707,0.535825,1.038279,0.942438,27.553255,1.132441,0.990823,2.313698,1.184949
FUCA2,15.096587,5.696492,9.652468,8.848763,6.745873,19.465139,9.415996,14.609983,3.843282,20.818022,5.68045
GCLC,0.570508,1.795049,0.592733,1.769018,1.669683,1.029454,1.500005,1.67058,2.272749,0.588158,1.466847
NFYA,4.356471,5.189222,2.531043,4.252586,3.306736,6.132659,3.909058,5.837661,2.577218,4.793446,2.772371
STPG1,1.564944,2.528916,1.663016,2.852399,0.992888,2.766106,1.558896,1.692264,1.496045,1.889722,1.491606
NIPAL3,0.861869,1.425507,0.770091,1.127507,0.829727,1.786201,1.13914,1.047117,0.882816,1.116216,0.780873
LAS1L,2.147684,3.288694,1.678785,4.105714,2.310372,2.460562,3.507122,8.331907,2.536668,2.112951,3.896791
ENPP4,13.247049,8.969209,10.737411,11.864324,10.82788,13.445518,6.902979,19.863253,6.60459,19.07753,7.307532
SEMA3F,0.904484,1.280413,2.744254,0.638984,0.532041,5.437829,1.610772,0.294848,0.390457,7.993211,0.107531
CFTR,0.009758,0.117328,0.023027,0.00457,0.016794,0.005353,0.018117,0.009085,0.007859,0.006921,0.007167
ANKIB1,6.63982,7.162757,6.964185,6.605402,4.908957,9.379142,7.661662,12.110604,4.546992,9.693638,7.847561
CYP51A1,14.609752,19.685341,11.810351,14.436927,9.282016,20.991133,15.716239,23.934698,8.007004,20.712914,8.446281
KRIT1,11.133821,8.067002,8.916816,13.289733,9.068121,15.465963,8.172691,16.006021,10.434346,11.481686,11.453865
RAD52,1.649286,2.235731,1.590169,2.494523,1.708458,1.84519,2.885871,2.133624,2.825219,1.416109,2.544783
BAD,5.419823,9.095428,4.963379,7.815859,2.721438,5.822367,5.506736,7.529073,2.919973,5.889888,4.076709
LAP3,5.34593,12.737053,4.064967,7.244131,3.470375,5.888653,11.870434,8.747399,3.660232,4.679471,3.874489
CD99,24.463331,9.416687,22.960081,37.238056,26.213903,26.241179,53.800121,0.933151,6.589143,20.459452,7.459346
HS3ST1,0.676861,1.299567,0.258453,2.108193,0.028686,0.19642,0.300678,0.114211,0.073944,1.298061,0.074655
AOC1,0.002356,0.002479,0.000691,0.00108,0.00123,0.004749,0.011924,0.002613,0.008907,0,0.019549
WNT16,0.01022,0.072619,0.012174,0.008926,0.022282,0,0.036574,0,0.010549,0.005183,0.023619
HECW1,0.000165,0.001305,0.354832,0,0.103955,0.15159,0.00122,0.000755,0.00054,0.12509,0.000626
MAD1L1,0.387958,0.798839,1.331494,4.33975,0.506771,2.807093,1.894361,4.581695,0.372607,2.249014,0.843278
LASP1,10.208735,10.509301,7.341388,10.554852,8.696154,15.405578,11.046002,16.124613,6.497473,11.484978,9.296192
SNX11,2.593351,2.38404,3.174897,3.299959,1.897866,2.874411,1.894284,3.64679,2.451686,2.921527,1.838607
