Gene,N0416,N0417,N0429,N0510,N151127,N160118,N160331
TSPAN6,5.027121,4.322248,1.223643,6.357705,5.486886,4.59835,5.073958
TNMD,0.188042,0.229714,0.262452,0.698222,0.09869,0.085426,0.035432
DPM1,13.257966,2.084013,1.345541,6.690092,11.905933,11.578082,14.471189
SCYL3,1.914353,0.813532,0.678432,1.878581,1.420555,1.520208,1.81659
C1orf112,0.616143,0.439787,0.886804,0.674981,0.437183,0.451252,0.266826
FGR,0.04588,0.446825,0.288748,0.119087,0.88666,0.161889,0.307496
CFH,2.606693,2.202914,3.960674,2.28364,21.965933,5.881645,12.603448
FUCA2,4.093045,1.229427,1.082911,3.648879,10.39299,7.842387,9.529678
GCLC,1.715315,1.435667,1.607293,1.556875,2.348886,1.537158,1.776987
NFYA,2.740762,3.318355,2.042789,3.892837,4.056248,5.291844,7.168458
STPG1,1.637584,1.054944,0.816855,2.202611,2.746612,3.41303,2.465228
NIPAL3,0.75567,2.449726,0.602168,2.262806,1.552335,1.701772,1.788759
LAS1L,2.617693,1.00292,0.874156,2.368047,5.350538,3.54467,5.474914
ENPP4,11.904781,3.671104,1.742069,6.854765,13.842106,13.355012,14.177091
SEMA3F,0.099703,0.380434,0.547957,0.726594,2.939046,2.934425,2.456722
CFTR,0.149585,0.034639,0.106195,0.027797,0.021941,0.024032,0.027924
ANKIB1,8.272657,3.437897,2.684724,6.84094,9.427043,8.69756,9.069407
CYP51A1,18.423624,7.517433,3.251308,12.519865,21.626249,20.229322,26.070812
KRIT1,11.961566,4.878789,5.115523,9.955996,10.596385,11.733268,12.036887
RAD52,1.82542,1.62931,1.450701,2.828009,1.880921,1.72793,1.812501
BAD,0.704097,2.339461,1.307152,0.733711,9.669169,10.31286,12.380319
LAP3,7.24529,3.653644,2.724654,5.586801,17.445253,14.458342,14.973847
CD99,2.904994,2.674127,1.900952,3.711137,18.909981,28.742125,42.186951
HS3ST1,0.431445,0.382357,0.307421,0.740091,1.120523,1.08266,0.710546
AOC1,0.040875,0.026352,0.212877,0.039877,0.012379,0.00448,0.00775
WNT16,0.077557,0.154206,0.150146,0.044177,0.337592,0.280487,0.129281
HECW1,0.026122,0.033466,0.338364,0.027441,0.105107,0.001226,0.003097
MAD1L1,1.535597,1.747871,0.631949,0.756557,2.390692,1.085998,0.829889
LASP1,4.814663,5.261581,4.025554,7.090818,18.185015,14.377497,19.558121
SNX11,1.95362,0.565405,0.351029,1.517286,3.012702,2.705693,2.874179
TMEM176A,0.453616,0.855633,0.73331,0.313659,5.651434,3.269458,5.127762
M6PR,11.278806,6.530785,3.754654,9.939002,13.948005,11.269203,16.141344
KLHL13,1.316252,0.967649,0.334998,1.294066,1.206602,1.640818,1.583495
CYP26B1,0.1013,0.642306,0.344021,0.408517,1.943341,0.886943,1.110271
ICA1,9.982992,7.171207,1.221135,6.526821,7.382526,7.718831,9.9802
DBNDD1,0.329606,0.769205,0.412865,0.648359,1.921595,2.311715,2.609362
